CSV_name,Participant,Session,Spine3_LeftShoulder_LeftArm_Angle_RMS,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_RMS,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,RightShoulder_RightArm_RightForeArm_Angle_RMS,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,Hips_LeftUpLeg_LeftLeg_Angle_RMS,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_RMS,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_RMS,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_RMS,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_ZeroCross,Spine1_Spine3_Head_Angle_RMS,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_ZeroCross,MeanActiveJoints
101_1st_session_101_FREESTYLE_MyTake_004_MyTake_004_resampled_120Hz_preprocessed_angles,101,First,26.661697894732267,26.66011515375664,0.1030728350397695,109,27.92845464890877,27.9277568194718,0.1041642913923601,108,116.016240235661,116.01008186328028,0.3217853242460738,122,109.93549053611476,109.91902418215174,0.337294935226163,143,28.73890327799213,28.73848301287464,0.1047351702860024,110,28.764555225271348,28.76441154349992,0.1099588375388758,95,86.89109108585852,86.89102754904427,0.6657432008774127,102,80.39332994816519,80.39326989873916,0.648024791680459,135,23.48234190807776,23.480135230519934,0.9181775082533123,119,15.415264363558,15.415106494618811,0.6384166112419659,164,7.002520539203956
101_Last_Session_101_freestyle_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,101,Last,51.01963064812647,51.01910073865841,0.1548871945126958,122,62.14421103084816,62.14377407790104,0.1808768129088345,104,97.7847740236491,97.78459395358324,0.26337919722257,124,79.05925355059505,79.05923101498989,0.2114119298549899,125,30.683025203058016,30.68301196713944,0.0927307469231711,120,32.51282765028618,32.51278587936468,0.0940398748854351,111,101.11824607333612,101.11553139596624,0.5451622370306405,95,95.81384287269142,95.8084758472891,0.6047831628906987,107,23.5979659128205,23.597803675030757,0.7266458864664717,144,17.1030950982034,17.10243779127873,0.5503799346915578,167,7.642619094295236
508_1st_session_508_freestyle_MyTake_005_MyTake_005_resampled_120Hz_preprocessed_angles,508,First,25.43644082497297,25.436437471595227,0.0886690266538639,98,30.571432303402528,30.5710025663138,0.1197001028065847,77,43.712360825476,43.711148842901736,0.1617676056923551,88,42.73069799855019,42.73069143941926,0.1778616483261555,108,33.0601938837434,33.060086318959094,0.1290406056402406,87,29.596244658766405,29.592448725003266,0.0932030791163329,87,98.55104930588216,98.54863829621378,0.5184530084946611,102,116.23092458427864,116.23064467729397,0.6056929173201634,99,25.748391301443075,25.74829325122153,0.7102204222786554,98,18.443959594971712,18.44394028064873,0.3985717209729421,119,7.07855464159812
508_last_session_508_freestlye_MyTake_003_MyTake_003_resampled_120Hz_preprocessed_angles,508,Last,24.4934934558282,24.492350784149533,0.1370697735749043,67,25.17461934484949,25.17447755145414,0.1142685671078344,55,51.02165534217528,51.00415186001831,0.3174734823599865,62,60.58992682209744,60.58645943305186,0.2753342834207852,60,31.236509965483148,31.210502182808707,0.2023092289108428,56,29.289454613782784,29.28802992813914,0.1374231807753179,53,46.01343570185446,46.004012078342825,0.3967925849686541,71,64.06250796167026,64.05972815739315,0.514116309539686,64,24.079289238584582,24.073495685817985,0.6476637396009017,44,20.85957335004559,20.851821215615896,0.4272296145076875,66,6.952973977695168
615_1st_session_615_FREESTYLE_MyTake_014_MyTake_014_resampled_120Hz_preprocessed_angles,615,First,40.55837580138984,40.55833633896972,0.0935390078936163,99,26.943735370884472,26.94353299494284,0.0597820874681801,117,65.41174967472253,65.4117492278145,0.1753900351217303,104,64.82719947884522,64.82719475262748,0.1525724836365805,110,21.33225726947641,21.331984897503894,0.0753225399580501,105,19.162240351207927,19.16078653662565,0.0624111306916589,99,56.74338064707365,56.74300795838522,0.3313905610400389,114,60.11569579460902,60.11060645255713,0.4080722393043209,97,17.057307451703746,17.056955046450632,0.6815722151675395,110,25.959673190556483,25.95857120246871,0.5974871712519461,112,6.890595684803002
615_Last_Session_615_freestyle_MyTake_008_MyTake_008_resampled_120Hz_preprocessed_angles,615,Last,34.96420140252763,34.96418683497098,0.1092774160956318,81,38.48463790518865,38.48448561930994,0.0982921065030454,73,70.91775909582984,70.91741627729512,0.2024635489232918,80,71.97536600712311,71.97398291144776,0.2027630823471444,86,26.82372879218314,26.823456651006545,0.0942279510853469,72,23.53117205718169,23.528805439599665,0.0724677113515681,78,76.2135440834619,76.20902982492566,0.512822261752473,79,83.49780771584095,83.49779215704163,0.4551057162066323,72,22.893264367937093,22.893183238611236,1.0039707315786408,97,24.87334789167812,24.87326200797124,0.559297630668455,103,7.208891183592081
631_1st_session_631_freestyle_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,631,First,12.264716755582576,12.264157855594746,0.0575870603543399,112,11.761551845013058,11.761186142669183,0.0422764745196965,126,53.67146814729218,53.6714198650043,0.094065933987799,132,47.62670999630217,47.62659219081736,0.0861426980891032,135,15.713991193415715,15.70971822301023,0.0650252974416284,86,19.495064928000943,19.49462310020125,0.0525725083020415,99,53.93661239197301,53.93517469173825,0.6569003087667682,121,69.62857910085619,69.62817861813471,0.4581653422056481,133,10.098190019456815,10.09818385080408,1.323892747614847,116,7.752507286643334,7.75247460862787,0.644709883554783,117,5.023506252894859
631_last_session_631_freestlye_MyTake_003_MyTake_003_resampled_120Hz_preprocessed_angles,631,Last,28.558034533342024,28.558030272266517,0.0872746079075439,124,26.8963092783999,26.896299792332652,0.063685398365928,128,145.21943948856674,145.2189475781872,0.2395660495412426,105,163.85467170729157,163.85464810543328,0.278424797708954,128,31.069567808183564,31.069567657203045,0.086691544542349,114,31.730869296935413,31.7302554030912,0.0907091701102373,108,122.55201574877354,122.55148897858147,0.5962790166749974,117,96.27880132989144,96.2496702768202,0.6179339224495615,133,25.42729116977772,25.427282405128366,0.9053479632849692,125,16.053834122542394,16.053645557702982,0.5026205777666477,147,7.320977151191055
762_1st_session_762_FREE_STLYE_MyTake_013_MyTake_013_resampled_120Hz_preprocessed_angles,762,First,37.644526579820216,37.64440957017361,0.0971963160848209,122,39.05661110875749,39.05600504295565,0.1211746929662589,112,143.8965332292545,143.89528861546643,0.2978240953030376,125,125.43350896668132,125.43302454145235,0.323891414971281,141,39.53054348791423,39.52976651121651,0.1116314664065652,109,42.595305014606005,42.59373910543663,0.1151203259062217,104,123.95268891969548,123.94474418196924,0.6925626277961378,105,125.32240136505514,125.30823286411967,0.5916592925845521,106,23.310614854260336,23.310614725700525,1.0965568356716415,150,21.860391857117776,21.860320759331515,0.7034622660163558,171,7.093624537254288
762_last_session__762_freestlye_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,762,Last,49.46374798240362,49.46356553729701,0.1256859238596514,112,57.57823658682149,57.57730123948468,0.1372670649747332,109,137.95962153323828,137.94146584277695,0.2587965544545615,125,104.2015263067265,104.20152613859182,0.2344843039438169,137,44.55743231493968,44.554615589694,0.1093507313394726,104,45.38049407463112,45.380467151285856,0.1142578167390158,99,124.19566643478966,124.17550086476898,0.5850723162208057,94,136.4955182132229,136.47111854815546,0.5352198785764228,100,27.272487771558684,27.25541511566646,0.8541643052446327,127,26.708311845978173,26.70815094368277,0.6823536645023864,164,7.607228262209404
863_1st_session_863_fREE_STLYE_MyTake_014_MyTake_014_resampled_120Hz_preprocessed_angles,863,First,21.29972266824922,21.29967668986156,0.0956041627972345,97,22.16024560076983,22.159665301262454,0.1172826660040819,86,61.54688772050958,61.54587197331144,0.2260078902143263,75,50.86834062327798,50.86805961899384,0.183295481148768,82,23.492924888027687,23.492862225832297,0.0760591530144792,87,22.16121460409456,22.16089870786337,0.0754608893610108,88,54.6556782584062,54.65288501468613,0.5640663766750662,102,61.32511646355479,61.32350361186359,0.6561369731313266,93,19.78382638478367,19.783825666373374,1.0667121336081766,76,17.523915692152492,17.5238816443869,0.702237036486194,95,6.094738613417097
863_last_session_863_freestlye_MyTake_011_MyTake_011_resampled_120Hz_preprocessed_angles,863,Last,32.64064562916006,32.64037573472812,0.1149914138896847,83,31.203019414792788,31.20301926596416,0.1370600902047297,92,78.01655679276121,78.01651203109691,0.2993319135302502,90,65.59454040795575,65.59454033087259,0.2076933258149903,97,30.074309161784363,30.07430512946481,0.1035853718376112,65,31.255730442450535,31.25503376501103,0.1062762730534046,80,85.90047150878951,85.90037951159306,0.5750430359579746,97,82.27199433505328,82.27163320839519,0.5816505349790688,115,25.989295124894728,25.989261914594504,1.0600977370713809,99,23.02822209999361,23.02808235706092,0.6241901844725181,103,7.177712236872543
892_1st_Session__789_FREE_STLYE_MyTake_015_MyTake_015_resampled_120Hz_preprocessed_angles,892,First,33.08856203282617,33.08855233786432,0.1018289932669582,101,28.27242705060764,28.27202048837096,0.082441570062422,105,74.44985283328363,74.44972469123259,0.2326297965215477,108,44.102356872824814,44.10227262706925,0.1326047525513173,123,24.562671255387443,24.562548058690727,0.0658724384848302,109,28.93981214567641,28.939347279842504,0.061147006929857,112,90.68907004525606,90.6885759983585,0.5343317343070034,139,94.26745745641904,94.26737390583116,0.4604119573433519,139,21.885264692952017,21.88516951281833,0.7733178093389443,125,14.093081310022422,14.092847460844816,0.4618075974888676,146,6.73753160193059
892_Last_Session_892_freestlye_MyTake_013_MyTake_013_resampled_120Hz_preprocessed_angles,892,Last,59.058684410182536,59.05844734005628,0.1397112870529914,91,58.8450326938264,58.84478270349407,0.1351891031048259,94,129.46328357043876,129.4628810552888,0.2558127295031611,134,104.8308581830911,104.83055566638691,0.1899245774065218,133,36.19459275023451,36.194095808241606,0.1019423775521381,97,41.6062488566951,41.60624391174351,0.0976493431047633,103,90.28164288362716,90.27794801156747,0.4883921179531437,100,97.79028343971024,97.78998174786332,0.4341403513639449,99,33.96737203261517,33.96737176915247,0.6607053202814939,101,25.92848736953205,25.92834946703864,0.5466887305013028,133,7.83301448032457
